UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y,FID
53985707,222,0,,גן ילדים - הפרחים,HaPrahim Kindergarten,13,5305,201333.238427,675244.267994,0,,201333.238427,675244.267994,5200
54017811,222,2620,קריית אונו,גן ילדים - יפה,,13,5305,186349.973027,663460.164794,0,,186349.973027,663460.164794,5201
53988094,222,70,אשדוד,"גן ילדים - ממ""ד רימון",,13,5305,166388.080827,631412.640794,0,,166388.080827,631412.640794,5202
54019384,222,7900,פתח תקווה,גן ילדים - גן טרום חובה,Gan Trom Hova (Pre Compulsory) Kindergarten,13,5305,190954.086627,665647.893194,0,,190954.086627,665647.893194,5203
53987030,222,5000,תל אביב -יפו,בית ספר - יחד,,13,5310,178199.281127,664438.693794,0,,178199.281127,664438.693794,5204
53984471,222,70,אשדוד,"גן ילדים - מ""מ אירוסים",,13,5305,165795.051227,631594.884294,0,,165795.051227,631594.884294,5205
53984478,222,7000,לוד,"בית ספר - מעיין החינוך התורני ש""ס",,13,5312,189824.216127,649064.218694,0,,189824.216127,649064.218694,5206
53984482,222,7500,סח'נין,גן ילדים,Kindergarten,13,5305,229090.891327,751514.691994,0,,229090.891327,751514.691994,5207
54018578,222,1337,שמשית,גן ילדים,Kindergarten,13,5305,223167.305927,737430.038994,0,,223167.305927,737430.038994,5208
53984554,222,6700,טבריה,בית ספר - פיסגה לפיתוח ההוראה,,13,5370,249178.372827,743913.808194,0,,249178.372827,743913.808194,5209
53984557,222,1200,מודיעין-מכבים-רעות,גן ילדים - גן אילות,,13,5305,200237.984027,646863.684594,0,,200237.984027,646863.684594,5210
54018581,222,6600,חולון,"גן ילדים - מ""מ רותם",,13,5305,178632.685427,656355.087794,0,,178632.685427,656355.087794,5211
53994004,222,2100,טירת כרמל,גן ילדים - גן תומר,Gan Tomer Kindergarten,13,5305,197840.354327,740817.413794,0,,197840.354327,740817.413794,5212
53994011,222,5000,תל אביב -יפו,המרכז ללימודי קבלה,Kabbala Learning Center,13,5300,178746.365427,665072.268094,0,,178746.365427,665072.268094,5213
53993354,222,2560,ערד,גן ילדים - גן אבישור,Gan Avishur Kindergarten,13,5305,219674.178127,573842.470394,0,,219674.178127,573842.470394,5214
53993363,222,2600,אילת,גן ילדים - פיס שחרות,,13,5305,192907.633927,384371.072094,0,,192907.633927,384371.072094,5215
53993374,222,70,אשדוד,"גן ילדים - מ""מ כסיף 1",,13,5305,166497.152327,634410.024294,0,,166497.152327,634410.024294,5216
54020564,222,0,,גן ילדים - נאות מרגלית,,13,5305,204569.927227,648919.445594,2014,2015-07,204569.927227,648919.445594,5217
53985726,222,229,גני תקווה,גן ילדים - נשי אגודת ישראל,,13,5305,187777.987227,663270.735094,0,,187777.987227,663270.735094,5218
53985727,222,6900,כפר סבא,גן ילדים - צור,,13,5305,192996.043127,675096.396194,0,,192996.043127,675096.396194,5219
53985729,222,0,,גן ילדים - גן אפרסמון,,13,5305,229399.231727,632531.697094,0,,229399.231727,632531.697094,5220
53987204,222,3000,ירושלים,מרכז עפרון למחול,,13,5300,219639.915227,630794.314494,0,,219639.915227,630794.314494,5221
53987260,222,1139,כרמיאל,גן ילדים - שקמה,Shikma Kindergarten,13,5305,227597.558627,756191.457994,0,,227597.558627,756191.457994,5222
53987264,222,70,אשדוד,גן ילדים - צמח ג3,,13,5305,167310.774827,632901.842394,0,,167310.774827,632901.842394,5223
53986971,222,7400,נתניה,גן ילדים - חינוך מיוחד גן מעלים קשת,,13,5305,187813.465427,695505.876094,2014,2015-07,187813.465427,695505.876094,5224
53986979,222,6600,חולון,גן ילדים - יונק הדבש,,13,5305,178511.286327,659447.577694,2014,2015-07,178511.286327,659447.577694,5225
53987537,222,6500,חדרה,כולל,Kolel,13,5340,192137.415227,704171.211694,0,,192137.415227,704171.211694,5226
53986904,222,6000,באקה אל-גרביה,בית ספר - להנדסאים המכללה הארצית סכנין,,13,5370,203578.490327,703422.923194,2014,2015-07,203578.490327,703422.923194,5227
53986905,222,7900,פתח תקווה,"גן ילדים - גן קכ""ז מ",,13,5305,187785.697427,665546.377494,0,,187785.697427,665546.377494,5228
53986908,222,709,תפרח,גן ילדים,Kindergarten,13,5305,169379.959727,581482.931594,0,,169379.959727,581482.931594,5229
53986910,222,4000,חיפה,מוסד חינוך קידום,,13,5300,201046.901027,743908.042294,0,,201046.901027,743908.042294,5230
53984623,222,2200,דימונה,גן ילדים - ברקת,,13,5305,204115.203827,554184.769894,0,,204115.203827,554184.769894,5231
53986283,222,7100,אשקלון,גן ילדים - תורני דובשנית,,13,5305,159052.461527,619822.465794,0,,159052.461527,619822.465794,5232
53985028,222,1139,כרמיאל,גן ילדים - כרמלית,,13,5305,228445.481427,756866.308294,0,,228445.481427,756866.308294,5233
